Question,Intent,Answer
What do you mean by how often should adults get a health checkup?,pregnancy,Typically 11 to16 kg for a normal BMI.
What do you mean by can i exercise with back pain?,general_health,"Yes, it can indicate higher health risks."
What do you mean by can i drink alcohol while taking antibiotics?,lifestyle,7 to9 hours per night is ideal.
What do you mean by what vaccines do adults need?,pregnancy,"Yes, paracetamol is generally safe under medical advice."
What do you mean by why do i get frequent nosebleeds?,follow_up,Usually 7 to14 days after surgery depending on the area.
What do you mean by when should a baby get their first vaccine?,general_health,"Yes, it may indicate poor nutrition or illness."
What do you mean by how often should i feed my newborn?,child_health,Between 2.5 kg and 4 kg.
What do you mean by is it okay  totake multivitamins daily?,mental_health,"Maintain a routine, limit screens, and avoid caffeine."
What do you mean by how do i treat a sore throat?,ent,It's called tinnitus and can be caused by hearing loss or infections.
What do you mean by how do i know if i have arthritis?,orthopedics,"Rest, ice, compression, and elevation (RICE method)."
What do you mean by what is a biopsy?,lifestyle,7 to9 hours per night is ideal.
What do you mean by is earwax harmful?,mens_health,"Fatigue, low libido, and mood changes."
What do you mean by is dandruff a sign of poor hygiene?,mens_health,"Fatigue, low libido, and mood changes."
What do you mean by how  toimprove male fertility?,emergency,Seek medical attention or call poison control.
What do you mean by what is a normal testosterone level?,orthopedics,"Typically 6  to8 weeks, depending on the location and severity."
What do you mean by how can i boost my immune system?,cardiology,"No, it can also be caused by muscle strain or acid reflux."
What do you mean by can i have dairy if i'm lactose intolerant?,medication_inquiry,It depends on the antibiotic; ask your doctor.
What do you mean by what is ibs?,general_health,"Annually, or more often with chronic issues."
What do you mean by do i need  tofast for an ultrasound?,dermatology,"No, it is usually caused by a dry scalp or yeast."
What do you mean by what causes acid reflux?,test_inquiry,"Yes, ECG doesnot require fasting."
What do you mean by can teething cause fever?,womens_health,"Yes, some contraceptives can reduce acne."
What do you mean by what causes acid reflux?,emergency,"Yes, if itos persistent or with signs of dehydration."
What do you mean by what are symptoms of high blood pressure?,mens_health,Usually after age 50 or earlier if at risk.
What do you mean by how much water should i drink daily?,general_health,Get vaccinated and practice hygiene.
What do you mean by do i need follow-up after a covid-19 infection?,diet_nutrition,It can be safe if done correctly; consult a doctor.
What do you mean by what are the signs of labor?,general_health,"Yes, it may indicate poor nutrition or illness."
What do you mean by what are symptoms of high blood pressure?,general_health,"Yes, it can indicate higher health risks."
What do you mean by how should i store my insulin?,cardiology,Between 60 and 100 beats per minute at rest.
What do you mean by do i need  tofast for an ultrasound?,ent,"Gargle warm salt water, drink fluids, or take prescribed medications."
What do you mean by how often should adults get a health checkup?,child_health,"Yes, mild fever is common."
What do you mean by what are signs of a heart attack?,gastroenterology,"Yes, it can slow or disrupt normal digestive processes."
What do you mean by what helps with dry skin?,diet_nutrition,"Oats, nuts, fruits, and vegetables."
What do you mean by are travel vaccines important?,mens_health,Typically 300 to1000 ng/dL.
What do you mean by can allergies cause emergencies?,lifestyle,"In moderation, but frequent use can cause health problems."
What do you mean by what does a lipid profile test show?,diet_nutrition,"Yes, if well-balanced with all nutrients covered."
What do you mean by is hair loss in men genetic?,general_health,Around 120/80 mmHg.
What do you mean by can i drink alcohol while taking antibiotics?,cardiology,"Headaches, dizziness, nosebleeds, or no symptoms at all."
What do you mean by can i take antidepressants long-term?,diet_nutrition,About 0.8g per kg of body weight for average adults.
What do you mean by what are symptoms of low testosterone?,orthopedics,"Symptoms include joint pain, stiffness, and swelling."
What do you mean by how long does it take  toget lab test results?,orthopedics,"Symptoms include joint pain, stiffness, and swelling."
What do you mean by what helps with dry skin?,cardiology,"Yes, chronic stress increases the risk of heart disease."
What do you mean by what should i do if someone faints?,emergency,Use fever medicine and seek medical care.
What do you mean by what does an mri scan show?,mental_health,"Persistent sadness, loss of interest, and fatigue."
What do you mean by how often should i get a pap smear?,child_health,"Yes, mild fever is common."
What do you mean by can allergies cause emergencies?,general_health,"Yes, if recommended for nutritional gaps."
What do you mean by what does a lipid profile test show?,lifestyle,"Try meditation, breaks, time management, and counseling."
What do you mean by are regular dental check-ups necessary?,immunization,"No, this claim has been thoroughly debunked."
What do you mean by what are symptoms of high blood pressure?,general_health,"Annually, or more often with chronic issues."
What do you mean by how can i reduce my cholesterol naturally?,immunization,"DPT, polio, MMR, Hepatitis B, and others."
What do you mean by should i come back after finishing my antibiotics?,ent,It's called tinnitus and can be caused by hearing loss or infections.
What do you mean by should i come back after finishing my antibiotics?,test_inquiry,Usually 24 to48 hours depending on the test.
What do you mean by what are symptoms of depression?,mental_health,"Practice deep breathing, exercise, or therapy."
What do you mean by what is the normal weight for a newborn?,mental_health,"Practice deep breathing, exercise, or therapy."
What do you mean by what are the signs of a herniated disc?,general_health,"Usually from age 40 to50, earlier if at risk."
What do you mean by what causes acne?,test_inquiry,"Yes, in some cases like abdominal scans."
What do you mean by can sinus infections cause headaches?,general_health,"Yes, it may indicate poor nutrition or illness."
What do you mean by is ultrasound safe during pregnancy?,pregnancy,"Avoid raw fish, unpasteurized cheese, and high mercury fish."
What do you mean by what are symptoms of low testosterone?,immunization,"No, this claim has been thoroughly debunked."
What do you mean by what is the normal weight for a newborn?,mental_health,"Persistent sadness, loss of interest, and fatigue."
What do you mean by do i need  tofast for an ultrasound?,womens_health,Every 3 years starting at age 21.
"What do you mean by i cut myself badly, should i go  tothe er?",lifestyle,"Yes, 30 minutes of brisk walking is beneficial."
What do you mean by how much water should i drink daily?,ent,"No, it protects the ear, but excess buildup may need removal."
What do you mean by what  todo if a child has a high fever?,test_inquiry,"Yes, ECG doesnot require fasting."
What do you mean by can sinus infections cause headaches?,womens_health,A hormonal disorder affecting ovulation and menstruation.
What do you mean by how often should i feed my newborn?,gastroenterology,Weak esophageal muscles or trigger foods like spicy and fatty items.
What do you mean by can i exercise with back pain?,mental_health,"Practice deep breathing, exercise, or therapy."
"What do you mean by i accidentally took double my dose, what now?",medication_inquiry,"Common side effects include nausea, diarrhea, and rash."
What do you mean by what is ibs?,emergency,"Lay them down, raise legs, and seek help if needed."
What do you mean by how can i reduce my cholesterol naturally?,mental_health,"Persistent sadness, loss of interest, and fatigue."
What do you mean by when should i return for follow-up?,general_health,Around 120/80 mmHg.
What do you mean by why do i get frequent nosebleeds?,orthopedics,"Typically 6  to8 weeks, depending on the location and severity."
What do you mean by how should i store my insulin?,womens_health,A hormonal disorder affecting ovulation and menstruation.
What do you mean by is hair loss in men genetic?,womens_health,A hormonal disorder affecting ovulation and menstruation.
What do you mean by what is the normal blood pressure range?,medication_inquiry,It depends on the antibiotic; ask your doctor.
What do you mean by is earwax harmful?,mens_health,"Fatigue, low libido, and mood changes."
What do you mean by what are the signs of labor?,orthopedics,"Back pain, numbness, or weakness in limbs."
What do you mean by how  toimprove sleep for mental health?,womens_health,Every 3 years starting at age 21.
What do you mean by can i drink alcohol while taking antibiotics?,mental_health,"Maintain a routine, limit screens, and avoid caffeine."
What do you mean by what should i do if i miss a dose?,mental_health,"Practice deep breathing, exercise, or therapy."
What do you mean by what are menopause symptoms?,follow_up,"Yes,  toconfirm recovery or check response."
What do you mean by what  todo if a child has a high fever?,womens_health,Every 3 years starting at age 21.
What do you mean by what causes ringing in the ears?,gastroenterology,Weak esophageal muscles or trigger foods like spicy and fatty items.
What do you mean by how often should adults get a health checkup?,test_inquiry,It provides detailed cross-sectional images of your body.
What do you mean by what is the normal weight for a newborn?,mental_health,"Practice deep breathing, exercise, or therapy."
What do you mean by what are the side effects of antibiotics?,immunization,"Fever, fatigue, and sore arm are common."
What do you mean by how do i treat a sore throat?,gastroenterology,"Yes, it could indicate hemorrhoids or something more serious."
What do you mean by what are symptoms of high blood pressure?,follow_up,"Typically every 6 to12 months, or more if needed."
What do you mean by how long does a bone fracture take  toheal?,test_inquiry," tocheck for infection, kidney health, or glucose."
What do you mean by when can i remove stitches after surgery?,ent,"Gargle warm salt water, drink fluids, or take prescribed medications."
What do you mean by what vaccines do adults need?,cardiology,"Headaches, dizziness, nosebleeds, or no symptoms at all."
What do you mean by is ultrasound safe during pregnancy?,medication_inquiry,Store unopened insulin in the refrigerator and opened at room temperature.
What do you mean by will i need physiotherapy after surgery?,general_health,"Yes, it can indicate higher health risks."
What do you mean by how do i treat a sore throat?,immunization,"Yes,  toprotect against region-specific diseases."
What do you mean by why do i need a ct scan?,child_health,"At birth, usually BCG and Hepatitis B."
What do you mean by what vaccines do children need?,pregnancy,"Yes, paracetamol is generally safe under medical advice."
What do you mean by how do i manage anxiety?,general_health,Get vaccinated and practice hygiene.
What do you mean by what are symptoms of depression?,immunization,"Fever, fatigue, and sore arm are common."
What do you mean by how do i prevent seasonal flu?,immunization,"Fever, fatigue, and sore arm are common."
What do you mean by how do i know if i have arthritis?,mental_health,"Practice deep breathing, exercise, or therapy."
What do you mean by how much protein do i need daily?,pregnancy,"Avoid raw fish, unpasteurized cheese, and high mercury fish."
What do you mean by how much protein do i need daily?,test_inquiry,"Yes, ECG doesnot require fasting."
What do you mean by what are symptoms of depression?,test_inquiry,"It shows detailed images of soft tissues, brain, and spine."
What do you mean by are moles dangerous?,orthopedics,"Yes, but stick  tolow-impact and doctor-approved routines."
What do you mean by how much sleep do adults need?,child_health,"At birth, usually BCG and Hepatitis B."
What do you mean by will i need physiotherapy after surgery?,emergency,"Lay them down, raise legs, and seek help if needed."
What do you mean by can vaccines cause autism?,orthopedics,"Back pain, numbness, or weakness in limbs."
What do you mean by can i eat before an ecg?,gastroenterology,"Irritable Bowel Syndrome, a disorder affecting bowel habits."
What do you mean by should i come back after finishing my antibiotics?,test_inquiry,It measures cholesterol and triglyceride levels.
What do you mean by can i have dairy if i'm lactose intolerant?,immunization,"No, this claim has been thoroughly debunked."
What do you mean by what does an mri scan show?,emergency,Seek medical attention or call poison control.
What do you mean by what is a normal testosterone level?,orthopedics,"Typically 6  to8 weeks, depending on the location and severity."
What do you mean by can i have dairy if i'm lactose intolerant?,ent,It's called tinnitus and can be caused by hearing loss or infections.
What do you mean by what is the normal blood pressure range?,diet_nutrition,About 0.8g per kg of body weight for average adults.
What do you mean by can vaccines cause autism?,mens_health,"Eat healthily, avoid alcohol and smoking, and exercise."
What do you mean by is blood in stool a serious issue?,emergency,Use fever medicine and seek medical care.
What do you mean by what  todo if a child has a high fever?,mens_health,Typically 300 to1000 ng/dL.
What do you mean by how much water should i drink daily?,ent,"Dry air, allergies, or high blood pressure may cause them."
What do you mean by will i need physiotherapy after surgery?,mental_health,"Maintain a routine, limit screens, and avoid caffeine."
What do you mean by can i take ibuprofen with paracetamol?,mens_health,"Eat healthily, avoid alcohol and smoking, and exercise."
What do you mean by when should i return for follow-up?,cardiology,"No, it can also be caused by muscle strain or acid reflux."
What do you mean by how much protein do i need daily?,pregnancy,"Avoid raw fish, unpasteurized cheese, and high mercury fish."
What do you mean by how often should adults get a health checkup?,child_health,Mild temperature rise can occur but not high fever.
What do you mean by what are the signs of a herniated disc?,mental_health,"Yes, under medical supervision."
What do you mean by how much protein do i need daily?,mens_health,"Eat healthily, avoid alcohol and smoking, and exercise."
What do you mean by can i exercise with back pain?,gastroenterology,"Irritable Bowel Syndrome, a disorder affecting bowel habits."
What do you mean by how often should i feed my newborn?,womens_health,A hormonal disorder affecting ovulation and menstruation.
What do you mean by is it safe  totake paracetamol during pregnancy?,immunization,"Fever, fatigue, and sore arm are common."
What do you mean by can i take ibuprofen with paracetamol?,diet_nutrition,"Oats, nuts, fruits, and vegetables."
What do you mean by do i need another scan after my treatment?,medication_inquiry,"Yes, they can be taken together but follow dosage instructions."
What do you mean by what should i avoid eating during pregnancy?,immunization,"Fever, fatigue, and sore arm are common."
What do you mean by should i be concerned about high bmi?,cardiology,Between 60 and 100 beats per minute at rest.
What do you mean by what are menopause symptoms?,gastroenterology,"Irritable Bowel Syndrome, a disorder affecting bowel habits."
What do you mean by when should i return for follow-up?,child_health,Mild temperature rise can occur but not high fever.
What do you mean by can stress affect digestion?,mens_health,"Fatigue, low libido, and mood changes."
What do you mean by what is pcos?,medication_inquiry,Store unopened insulin in the refrigerator and opened at room temperature.
What do you mean by what are the signs of labor?,womens_health,A hormonal disorder affecting ovulation and menstruation.
What do you mean by should i be concerned about high bmi?,diet_nutrition,"Yes, lactose-free or plant-based alternatives work."
What do you mean by how often should i feed my newborn?,pregnancy,"Regular contractions, water breaking, and lower back pain."
What do you mean by are moles dangerous?,medication_inquiry,Store unopened insulin in the refrigerator and opened at room temperature.
What do you mean by how much water should i drink daily?,follow_up,Usually 7 to14 days after surgery depending on the area.
What do you mean by is a sudden severe headache an emergency?,cardiology,"Headaches, dizziness, nosebleeds, or no symptoms at all."
What do you mean by should i get re-tested after a positive diagnosis?,follow_up,"Yes,  toensure no side effects and track schedule."
What do you mean by when should i start cancer screenings?,immunization,"Yes,  toprotect against seasonal flu variants."
What do you mean by what are menopause symptoms?,child_health,Every 2 to3 hours.
What do you mean by how  torelieve constipation?,orthopedics,"Symptoms include joint pain, stiffness, and swelling."
What do you mean by what is the normal weight for a newborn?,orthopedics,"Yes, but stick  tolow-impact and doctor-approved routines."
What do you mean by can i exercise while pregnant?,mens_health,Usually after age 50 or earlier if at risk.
What do you mean by can sinus infections cause headaches?,child_health,Between 2.5 kg and 4 kg.
What do you mean by is irregular menstruation normal?,ent,"No, it protects the ear, but excess buildup may need removal."
What do you mean by is hair loss in men genetic?,pregnancy,Typically 11 to16 kg for a normal BMI.
What do you mean by do i need another scan after my treatment?,ent,It's called tinnitus and can be caused by hearing loss or infections.
What do you mean by why do i get frequent nosebleeds?,follow_up,"Yes,  toconfirm recovery or check response."
What do you mean by what should i avoid eating during pregnancy?,lifestyle,7 to9 hours per night is ideal.
What do you mean by how  torelieve constipation?,womens_health,"Occasionally yes, but chronic irregularity needs evaluation."
What do you mean by is being underweight a health concern?,gastroenterology,"Increase fiber, hydrate, and stay active."
What do you mean by how do i treat eczema?,medication_inquiry,"Yes, they can be taken together but follow dosage instructions."
What do you mean by how do i prevent seasonal flu?,mental_health,"Persistent sadness, loss of interest, and fatigue."
What do you mean by is chest pain always related  tothe heart?,ent,"Yes, sinus pressure often leads  tofacial pain or headaches."
What do you mean by how much sleep do adults need?,immunization,"Fever, fatigue, and sore arm are common."
What do you mean by what are the signs of a herniated disc?,ent,"No, it protects the ear, but excess buildup may need removal."
What do you mean by is chest pain always related  tothe heart?,emergency,"Yes, anaphylaxis requires immediate EpiPen use."
What do you mean by how is a blood sugar test done?,lifestyle,"Try meditation, breaks, time management, and counseling."
What do you mean by how often should i get my thyroid levels checked?,ent,It's called tinnitus and can be caused by hearing loss or infections.
What do you mean by is hair loss in men genetic?,medication_inquiry,It depends on the antibiotic; ask your doctor.
What do you mean by what  todo in case of a seizure?,child_health,Mild temperature rise can occur but not high fever.
What do you mean by can stress affect digestion?,womens_health,A hormonal disorder affecting ovulation and menstruation.
What do you mean by what helps with dry skin?,emergency,"Keep person safe, donot restrain, call emergency."
What do you mean by how do i know if i have arthritis?,general_health,"Annually, or more often with chronic issues."
What do you mean by is being underweight a health concern?,lifestyle,"Try meditation, breaks, time management, and counseling."
What do you mean by can vaccines cause autism?,general_health,"Yes, ideally every 6 months."
What do you mean by do i need another scan after my treatment?,test_inquiry,"It shows detailed images of soft tissues, brain, and spine."
What do you mean by is irregular menstruation normal?,medication_inquiry,Store unopened insulin in the refrigerator and opened at room temperature.
What do you mean by do children require follow-ups after vaccination?,medication_inquiry,"Common side effects include nausea, diarrhea, and rash."
"What do you mean by my child swallowed a battery, what should i do?",orthopedics,"Symptoms include joint pain, stiffness, and swelling."
What do you mean by how often should adults get a health checkup?,mens_health,"Yes, male pattern baldness is hereditary."
What do you mean by what are symptoms of high blood pressure?,mens_health,"Eat healthily, avoid alcohol and smoking, and exercise."
